id,playerID,type
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
17,1
16,1
19,1
18,1
21,1
20,1
23,1
22,1
25,1
24,1
27,1
26,1
29,1
28,1
31,1
30,1
34,1
35,1
32,1
33,1
38,1
39,1
36,1
37,1
42,1
43,1
40,1
41,1
46,1
47,1
44,1
45,1
51,2
50,2
49,2
48,2
55,3
54,2
53,2
52,2
59,3
58,3
57,3
56,3
63,3
62,3
61,3
60,3
68,3
69,3
70,3
71,3
64,3
65,3
66,3
67,3
76,0
77,0
78,0
79,0
72,3
73,0
74,0
75,0
85,0
84,0
87,-1
86,-1
81,-1
80,-1
83,-1
82,-1
93,-1
92,-1
95,-1
94,-1
89,-1
88,-1
91,-1
90,-1
102,-1
103,-1
100,-1
101,-1
98,-1
99,-1
96,-1
97,-1
110,-1
111,-1
108,-1
109,-1
106,-1
107,-1
104,-1
105,-1
119,-1
118,-1
117,-1
116,-1
115,-1
114,-1
113,-1
112,-1
